P1,3,3,5,5,5,3,3,4,3,4,3
P2,5,4,5,5,5,5,5,5,5,5,5
P3,1,5,5,5,5,1,1,1,1,1,1
P4,5,5,4,1,4,4,5,3,1,2,4
